Gas,"NFR/CRF Group",Source,Activity,Units,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon Dioxide as Carbon",1A1b,"Refineries - combustion","Natural gas",kilotonne,512.471156305985,621.416627853366,597.666266176783,624.157371198,701.73809060715,631.836392395827,630.869354089046,590.929986094351,609.01807175237,582.925147114366,603.121479775952,601.465998041681,573.31861466664
"Carbon Dioxide as Carbon",1A1b,"Refineries - combustion",OPG,kilotonne,2249.1252848935,2191.41013589738,1736.85323876011,1778.01043095917,1639.93881531259,1558.16092584341,1697.03279874674,1742.81754100026,1685.39580363656,1630.68605407769,1504.81666506158,1363.50270135252,1593.28582968598
"Carbon Dioxide as Carbon",1A1b,"Refineries - combustion","Petroleum coke",kilotonne,1275.46168560787,1419.2916,1493.208,1159.90269396,1060.0884,1094.52991219636,1129.11293536909,1111.2132936,1030.35507216,1092.4989,841.994099999999,950.487899999999,905.699099999999
"Carbon Dioxide as Carbon",1A1b,"Refineries - combustion","Gas oil",kilotonne,-,0.426300000000001,0.0348000000000001,-,-,-,0.00870000000000002,0.00870000000000002,0.00870000000000002,0.00870000000000002,-,0.0174,0.0870000000000002
"Carbon Dioxide as Carbon",1A1b,"Refineries - combustion","Refinery miscellaneous",kilotonne,-,-,-,46.504,-,44.5360000000001,-,-,-,-,-,-,-
"Carbon Dioxide as Carbon",1A1ci,"Coke production","Blast furnace gas",kilotonne,200.260484336432,178.27986832702,180.037383366694,200.557771791243,191.845258245623,172.194796337392,171.942521914665,152.827347524968,162.317481544703,152.961312832471,150.351301574189,136.626776390237,119.006381275774
"Carbon Dioxide as Carbon",1A1ci,"Coke production","Coke oven gas",kilotonne,157.959207568069,143.825645553418,145.476239760833,138.759730844922,140.031796256775,122.371573762418,60.0443838575879,57.2229773573008,55.919234615055,58.6275752994662,40.1188537261141,42.3765567849153,46.8335220296034
"Carbon Dioxide as Carbon",1A1cii,"Upstream Oil Production - fuel combustion","Gas oil",kilotonne,389.546586450717,419.066855320181,487.419094477408,469.301892144617,486.823832882353,466.857004732208,467.700723451947,454.886043939752,420.105973568767,428.512766967289,415.625901716325,386.391119110565,323.576063512974
"Carbon Dioxide as Carbon",1A1cii,"Upstream Oil Production - fuel combustion","Natural gas",kilotonne,2025.51481927092,1748.87340036654,1594.44911969415,1457.37175912438,1424.5539869324,1604.41548870273,1619.33578174257,1640.39958267211,1699.58126691818,1784.40864235908,1714.09511248909,1477.75623054546,1420.75076103818
"Carbon Dioxide as Carbon",1A1cii,"Oil terminal: fuel combustion","Gas oil",kilotonne,23.6524863027758,24.0599313966038,20.6748280533205,33.4035893878361,38.8198850148851,29.1567740606091,11.0488682640224,21.8518649599571,7.62046242643358,5.28737841362808,3.3272745140612,15.5687471747018,3.71421696821103
"Carbon Dioxide as Carbon",1A1cii,"Oil terminal: fuel combustion","Natural gas",kilotonne,273.627728459657,235.378425569184,208.881477132084,202.022009549999,182.219762124545,203.376503271819,220.289974011818,219.67219807909,216.471322903637,201.972544063637,202.593393591818,180.908271182727,187.337784766363
"Carbon Dioxide as Carbon",1A1cii,"Gas terminal: fuel combustion","Gas oil",kilotonne,0.64416441979614,0.880545559929331,1.84392047870584,2.69450858219865,0.793012831225303,0.93500742407439,1.12100661900567,0.822439459419818,0.822123922821165,0.43844676512836,0.378224902327772,0.543241095369073,0.389009510125113
"Carbon Dioxide as Carbon",1A1cii,"Gas terminal: fuel combustion","Natural gas",kilotonne,398.98422037995,371.640232701275,371.579685521182,397.459527962728,403.702995758183,375.70603011,408.147549395453,387.948950790002,389.036228083637,386.299394705034,359.324864926363,328.251060409092,309.387857661817
"Carbon Dioxide as Carbon",1A1cii,"Upstream Gas Production - fuel combustion","Gas oil",kilotonne,15.4380150220408,20.7699965924164,28.3745160416258,33.535730628401,37.4003979827834,55.0168147271928,41.084942856251,35.3535037510745,39.5697195107308,46.5255869550737,45.1858509206191,55.5818100869928,35.5112269952189
"Carbon Dioxide as Carbon",1A1cii,"Upstream Gas Production - fuel combustion","Natural gas",kilotonne,874.617439090909,785.496135602036,678.994966634212,739.532773636363,708.920097667055,714.549036485622,639.341712916438,624.719003997273,552.250889184546,579.46084504909,568.908631193012,440.795507181819,518.03441821091
"Carbon Dioxide as Carbon",1A1ciii,"Collieries - combustion",Coal,kilotonne,3.403505512411,2.5910482622472,2.6253213874092,1.782202508424,0.4181321269764,-,-,-,-,-,-,-,-
"Carbon Dioxide as Carbon",1A1ciii,"Collieries - combustion","Colliery methane",kilotonne,49.6203676352867,41.038879603573,32.5367425876595,25.9662145100803,22.9204205851947,20.7981594198989,26.3160384496679,24.0051992208273,23.1023286850772,21.3875416635181,17.1751564305725,18.0404326256802,18.5667533946736
"Carbon Dioxide as Carbon",1A1ciii,"Collieries - combustion","Natural gas",kilotonne,3.71702272265176,3.06757215222444,4.82710868733339,3.016047743834,5.01713201548941,3.9652485966214,3.85543360962551,3.81647102944229,3.95044908595821,4.00715781019005,3.37197123087486,2.98870176665807,3.03735834256654
